date,live_bt_ev,live_fill_gap,live_filled_ev,live_filled_n,live_missed_ev,live_missed_n,live_realized,live_rejected_ev,live_rejected_n,live_unseen_ev,live_unseen_n,n,paper_bt_ev,paper_fill_gap,paper_filled_ev,paper_filled_n,paper_missed_ev,paper_missed_n,paper_rejected_ev,paper_rejected_n,paper_unseen_ev,paper_unseen_n,replica_pnl
2026-07-24,3797,33,-250,14,1915,40,-16.58,0,0,2133,73,127,3797,593,548,23,299,37,0,0,2951,67,109.05
2026-07-27,4030,43,-248,22,1839,56,-27.24,-300,3,2739,101,182,4030,615,1054,41,237,48,-300,3,3039,90,200.53
2026-07-28,4443,43,-248,22,1908,68,-27.31,-241,4,3024,111,205,4443,617,996,46,543,60,-300,3,3204,96,170.53
2026-07-29,5143,-12,-58,29,2504,84,-27.31,-341,5,3038,139,257,5143,613,1375,75,1062,71,-249,9,2955,102,44.11
2026-07-30,4943,-12,-58,29,2318,87,-27.31,-273,7,2956,172,295,4943,657,1519,79,702,77,-247,14,2969,125,82.87
2026-08-02,-447,22,226,6,-92,12,-27.31,-132,4,-449,22,44,-447,76,-120,16,-172,13,-340,7,185,8,48.98
2026-08-03,4843,-27,279,26,1133,76,-27.31,-117,9,3548,219,330,4843,-5,288,88,940,101,362,31,3253,110,104.43
2026-08-04,4550,-24,179,27,1133,76,-27.31,-117,9,3355,224,336,4550,-1,260,91,696,105,162,33,3431,107,95.6
2026-08-05,6284,-28,173,26,1099,75,-27.31,-117,9,5129,248,358,6284,14,23,95,2267,111,364,40,3631,112,113.86
2026-08-06,6226,-28,173,26,1117,76,-27.31,-117,9,5053,251,362,6226,21,-121,98,2202,116,315,42,3830,106,114.59
2026-08-07,6080,-28,173,26,1117,76,-27.31,-117,9,4907,260,371,6080,75,-104,102,2239,121,503,44,3442,104,107.09
2026-08-08,7643,-4,-126,32,2497,89,-27.31,-117,9,5389,277,407,7643,724,967,130,2266,130,885,46,3526,101,164.16
2026-08-10,8062,-15,-205,31,2555,87,-27.31,-117,9,5829,290,417,8062,727,891,132,2272,128,1495,52,3403,105,103.49
2026-08-11,7962,-15,-205,31,2555,87,-27.31,-117,9,5729,291,418,7962,730,809,134,2342,131,1740,57,3071,96,-21.61
2026-08-18,4250,36,154,19,325,59,-27.31,-127,9,3899,312,399,4250,136,276,127,981,116,1237,75,1756,81,0.56
2026-08-21,3007,10,104,14,685,43,-27.31,-127,9,2345,295,361,3007,112,-157,129,529,115,1186,84,1449,33,25.56
2026-08-24,2558,0,0,0,675,26,-27.31,-127,9,2011,303,338,2558,64,-311,116,661,106,870,86,1339,30,15.22
2026-08-25,2644,0,0,0,392,18,-27.31,-27,8,2280,313,339,2644,12,351,132,1282,115,1074,89,-63,3,17.03
2026-09-02,3254,0,0,0,0,0,-27.31,0,0,3254,258,258,3254,-770,1008,93,852,73,856,64,538,28,-18.27
2026-09-03,5154,0,0,0,0,0,-27.31,0,0,5154,276,276,5154,-831,1127,85,723,68,1394,58,1910,65,-11.12
